legislator,role,district,party,residence,gender,desk_number,profession,notes,session_name,session_year,regular
"Gilmour, Jeff L.",NA,30,Democrat,"Jefferson, Linn, Marion",Male,47,NA,NA,1975 Special Session,1975,FALSE
"Grannell, William. N.",NA,47,Democrat,"North Bend, Coos",Male,52,NA,NA,1975 Special Session,1975,FALSE
"Groener, Ralph",NA,27,Democrat,"Oregon City, Clackamas",Male,45,NA,NA,1975 Special Session,1975,FALSE
"Gustafson, Richard",NA,21,Democrat,"Portland, Multnomah",Male,40,NA,NA,1975 Special Session,1975,FALSE
"Gwinn, William. F.",NA,36,Republican,"Albany, Linn, Benton",Male,14,NA,NA,1975 Special Session,1975,FALSE
"Hanneman, Paul A.",NA,3,Republican,"Cloverdale, Tillamook, Yamhill, Washington, Polk",Male,53,NA,NA,1975 Special Session,1975,FALSE
"Johnson, Cecil L.",NA,49,Republican,"Grants Pass, Josephine",Male,17,NA,NA,1975 Special Session,1975,FALSE
"Johnson, Samuel S.",NA,54,Republican,"Redmond, Deschutes, Klamath",Male,54,NA,NA,1975 Special Session,1975,FALSE
"Jones, D. E. (Denny)",NA,60,Republican,"Ontario, Harney, Lake, Malheur",Male,41,NA,NA,1975 Special Session,1975,FALSE
"Kafoury, Stephen",NA,13,Democrat,"Portland, Multnomah",Male,19,NA,NA,1975 Special Session,1975,FALSE
"Katz, Vera",NA,8,Democrat,"Portland, Multnomah",Female,36,NA,NA,1975 Special Session,1975,FALSE
"Kerans, Grattan",NA,39,Democrat,"Eugene, Lane",Male,10,NA,NA,1975 Special Session,1975,FALSE
"Kinsey, Lloyd",NA,18,Republican,"Portland, Multnomah",Male,32,NA,NA,1975 Special Session,1975,FALSE
"Kulongoski, Theodore R.",NA,43,Democrat,"Eugene, Douglas, Lane",Male,57,NA,NA,1975 Special Session,1975,FALSE
"Lang, Philip D.",Speaker,10,Democrat,"Portland, Multnomah",Male,59,NA,NA,1975 Special Session,1975,FALSE
"Lindquist, Ed",Majority Leader,26,Democrat,"Milwaukie, Clackamas",Male,51,NA,NA,1975 Special Session,1975,FALSE
"Magruder, Dick",NA,1,Democrat,"Clatskanie, Columbia, Washington",Male,56,NA,NA,1975 Special Session,1975,FALSE
"Marsh, Tom",NA,5,Democrat,"Portland, Washington",Male,16,NA,NA,1975 Special Session,1975,FALSE
"Martin, Roger E.",Minority Leader,24,Republican,"Lake Oswego, Clackamas",Male,50,NA,NA,1975 Special Session,1975,FALSE
"Marx, Robert",NA,34,Democrat,"Monmouth, Benton, Polk",Male,28,NA,NA,1975 Special Session,1975,FALSE
"McCrae, Wallace W.",NA,57,Republican,"Pendleton, Umatilla",Male,9,NA,NA,1975 Special Session,1975,FALSE
"Mitchell, Cleatis G.",NA,52,Democrat,"Ashland, Jackson, Klamath",Male,13,NA,NA,1975 Special Session,1975,FALSE
"Morris, Brad",NA,51,Republican,"Medford, Jackson",Male,33,NA,NA,1975 Special Session,1975,FALSE
"Myers, Hardy",NA,19,Democrat,"Portland, Multnomah",Male,21,NA,NA,1975 Special Session,1975,FALSE
"Otto, Glenn E.",NA,23,Democrat,"Troutdale, Multnomah",Male,7,NA,NA,1975 Special Session,1975,FALSE
"Patterson, E. E.",NA,58,Republican,"La Grande, Union, Wallowa, Umatilla",Male,31,NA,NA,1975 Special Session,1975,FALSE
"Paulus, Norma",NA,31,Republican,"Salem, Marion",Female,27,NA,NA,1975 Special Session,1975,FALSE
"Peck, Grace Olivier",NA,12,Democrat,"Portland, Multnomah",Female,55,NA,NA,1975 Special Session,1975,FALSE
"Priestley, Wally",NA,16,Democrat,"Portland, Multnomah",Male,3,NA,NA,1975 Special Session,1975,FALSE
"Ragsdale, Mike",NA,6,Republican,"Beaverton, Washington",Male,42,NA,NA,1975 Special Session,1975,FALSE
"Rieke, Mary",NA,9,Republican,"Portland, Multnomah",Female,38,NA,NA,1975 Special Session,1975,FALSE
"Rijken, Max",NA,38,Democrat,"Newport, Lincoln, Lane, Benton",Male,29,NA,NA,1975 Special Session,1975,FALSE
"Rogers, Bill",NA,44,Republican,"Vida, Lane",Male,4,NA,NA,1975 Special Session,1975,FALSE
"Simpson, Max",NA,59,Democrat,"Baker, Baker, Crook, Grant, Wheeler, Malheur",Male,24,NA,NA,1975 Special Session,1975,FALSE
"Starr, George",NA,17,Democrat,"Portland, Multnomah",Male,20,NA,NA,1975 Special Session,1975,FALSE
"Stevenson, Edward (Doc)",NA,48,Democrat,"Coquille, Curry, Coos",Male,37,NA,NA,1975 Special Session,1975,FALSE
"Stults, Robert M.",NA,45,Republican,"Roseburg, Douglas",Male,49,NA,NA,1975 Special Session,1975,FALSE
"Sumner, Jack",NA,55,Democrat,"Gilliam, Jefferson, Morrow, Sherman, and portions of Clackamas, Linn, Marion and Wasco",Male,44,NA,NA,1975 Special Session,1975,FALSE
"VanVliet, Antone C. (Tony)",NA,35,Republican,"Corvallis, Benton",Male,12,NA,NA,1975 Special Session,1975,FALSE
"Walden, Paul",NA,56,Republican,"Hood River, Hood River, Clackamas, Wasco",Male,46,NA,NA,1975 Special Session,1975,FALSE
"Whallon, Glen W.",NA,25,Democrat,"Milwaukie, Clackamas",Male,48,NA,NA,1975 Special Session,1975,FALSE
"Whiting, Pat",NA,7,Democrat,"Tigard, Washington",Female,22,NA,NA,1975 Special Session,1975,FALSE
"Wilhelms, Gary L.",NA,53,Republican,"Klamath Falls, Klamath",Male,39,NA,NA,1975 Special Session,1975,FALSE
"Wolfer, Curt",NA,28,Democrat,"Silverton, Clackamas, Marion",Male,15,NA,NA,1975 Special Session,1975,FALSE
"Wyatt, William W.",NA,2,Democrat,"Warrenton, Clatsop, Columbia, Washington",Male,26,NA,NA,1975 Special Session,1975,FALSE
"Akeson, Harvey",NA,22,Democrat,"Troutdale, Multnomah",Male,5,NA,NA,1975 Session,1975,TRUE
"Blumenauer, Earl",NA,11,Democrat,"Portland, Multnomah",Male,58,NA,NA,1975 Session,1975,TRUE
"Bonebrake, Richard (Dick)",NA,46,Democrat,"Roseburg, Douglas, Josephine",Male,30,NA,NA,1975 Session,1975,TRUE
"Bunn, Stan",NA,29,Republican,"Dayton, Marion, Yamhill",Male,60,NA,NA,1975 Session,1975,TRUE
"Burrows, Mary McCauley",NA,41,Republican,"Eugene, Lane",Female,34,NA,NA,1975 Session,1975,TRUE
"Byers, Bernard (Bud)",NA,37,Democrat,"Lebanon, Linn",Male,35,NA,NA,1975 Session,1975,TRUE
"Cherry, Howard",NA,14,Democrat,"Portland, Multnomah",Male,11,NA,NA,1975 Session,1975,TRUE
"Chrest, James H.",NA,15,Democrat,"Portland, Multnomah",Male,18,NA,James Chrest was appointed to the House replacing William McCoy who resigned House seat to accept appointment to Senate.,1975 Session,1975,TRUE
"Davis, Drew",NA,20,Democrat,"Portland, Multnomah",Male,6,NA,NA,1975 Session,1975,TRUE
"Densmore, Albert",Speaker Pro Tempore,50,Democrat,"Medford, Jackson",Male,43,NA,NA,1975 Session,1975,TRUE
"Dereli, Margaret (Peg)",NA,32,Democrat,"Salem, Marion",Female,25,NA,NA,1975 Session,1975,TRUE
"Fadeley, Nancie",NA,42,Democrat,"Eugene, Lane",Female,23,NA,NA,1975 Session,1975,TRUE
"Ferguson, Bill B.",NA,4,Democrat,"Hillsboro, Washington",Male,1,NA,NA,1975 Session,1975,TRUE
"Forbes, Clinton D.",NA,33,Republican,"Salem, Marion, Polk",Male,2,NA,NA,1975 Session,1975,TRUE
"Frohnmayer, David",NA,40,Republican,"Eugene, Lane",Male,8,NA,NA,1975 Session,1975,TRUE
"Gilmour, Jeff L.",NA,30,Democrat,"Jefferson, Linn, Marion",Male,47,NA,NA,1975 Session,1975,TRUE
"Grannell, William N.",NA,47,Democrat,"North Bend, Coos",Male,52,NA,NA,1975 Session,1975,TRUE
"Groener, Ralph",NA,27,Democrat,"Oregon City, Clackamas",Male,45,NA,NA,1975 Session,1975,TRUE
"Gustafson, Richard",NA,21,Democrat,"Portland, Multnomah",Male,40,NA,NA,1975 Session,1975,TRUE
"Gwinn, William F.",NA,36,Republican,"Albany, Linn, Benton",Male,14,NA,NA,1975 Session,1975,TRUE
"Hanneman, Paul A.",NA,3,Republican,"Cloverdale, Tillamook, Yamhill, Washington, Polk",Male,53,NA,NA,1975 Session,1975,TRUE
"Johnson, Cecil L.",NA,49,Republican,"Grants Pass, Josephine",Male,17,NA,NA,1975 Session,1975,TRUE
"Johnson, Samuel S.",NA,54,Republican,"Redmond, Deschutes, Klamath",Male,54,NA,NA,1975 Session,1975,TRUE
"Jones, D. E. (Denny)",NA,60,Republican,"Ontario, Harney, Lake, Malheur",Male,41,NA,NA,1975 Session,1975,TRUE
"Kafoury, Stephen",NA,13,Democrat,"Portland, Multnomah",Male,19,NA,NA,1975 Session,1975,TRUE
"Katz, Vera",NA,8,Democrat,"Portland, Multnomah",Female,36,NA,NA,1975 Session,1975,TRUE
"Kerans, Grattan",NA,39,Democrat,"Eugene, Lane",Male,10,NA,NA,1975 Session,1975,TRUE
"Kinsey, Lloyd",NA,18,Republican,"Portland, Multnomah",Male,32,NA,NA,1975 Session,1975,TRUE
"Kulongoski, Theodore R.",NA,43,Democrat,"Eugene, Douglas, Lane",Male,57,NA,NA,1975 Session,1975,TRUE
"Lang, Philip D.",Speaker,10,Democrat,"Portland, Multnomah",Male,59,NA,NA,1975 Session,1975,TRUE
"Lindquist, Ed",Majority Leader,26,Democrat,"Milwaukie, Clackamas",Male,51,NA,NA,1975 Session,1975,TRUE
"Magruder, Dick",NA,1,Democrat,"Clatskanie, Columbia, Washington",Male,56,NA,NA,1975 Session,1975,TRUE
"Marsh, Tom",NA,5,Democrat,"Portland, Washington",Male,16,NA,NA,1975 Session,1975,TRUE
"Martin, Roger E.",Minority Leader,24,Republican,"Lake Oswego, Clackamas",Male,50,NA,NA,1975 Session,1975,TRUE
"Marx, Robert",NA,34,Democrat,"Monmouth, Benton, Polk",Male,28,NA,NA,1975 Session,1975,TRUE
"McCoy, William",NA,15,Democrat,"Portland, Multnomah",Male,29,NA,William McCoy resigned House seat to accept appointment to Senate. James Chrest was appointed to House to fill the vacancy.,1975 Session,1975,TRUE
"McCrae, Wallace W.",NA,57,Republican,"Pendleton, Umatilla",Male,9,NA,NA,1975 Session,1975,TRUE
"Mitchell, Cleatis G.",NA,52,Democrat,"Ashland, Jackson, Klamath",Male,13,NA,NA,1975 Session,1975,TRUE
"Morris, Brad",NA,51,Republican,"Medford, Jackson",Male,33,NA,NA,1975 Session,1975,TRUE
"Myers, Hardy",NA,19,Democrat,"Portland, Multnomah",Male,21,NA,NA,1975 Session,1975,TRUE
"Otto, Glenn E.",NA,23,Democrat,"Troutdale, Multnomah",Male,7,NA,NA,1975 Session,1975,TRUE
"Patterson, E. E.",NA,58,Republican,"La Grande, Union, Wallowa, Umatilla",Male,31,NA,NA,1975 Session,1975,TRUE
"Paulus, Norma",NA,31,Republican,"Salem, Marion",Female,27,NA,NA,1975 Session,1975,TRUE
"Peck, Grace Olivier",NA,12,Democrat,"Portland, Multnomah",Female,55,NA,NA,1975 Session,1975,TRUE
"Priestley, Wally",NA,16,Democrat,"Portland, Multnomah",Male,3,NA,NA,1975 Session,1975,TRUE
"Ragsdale, Mike",NA,6,Republican,"Beaverton, Washington",Male,42,NA,NA,1975 Session,1975,TRUE
"Rieke, Mary",NA,9,Republican,"Portland, Multnomah",Female,38,NA,NA,1975 Session,1975,TRUE
"Rogers, Bill",NA,44,Republican,"Vida, Lane",Male,4,NA,NA,1975 Session,1975,TRUE
"Simpson, Max",NA,59,Democrat,"Baker, Baker, Crook, Grant, Wheeler, Malheur",Male,24,NA,NA,1975 Session,1975,TRUE
"Starr, George W.",NA,17,Democrat,"Portland, Multnomah",Male,20,NA,NA,1975 Session,1975,TRUE
"Stevenson, Edward (Doc)",NA,48,Democrat,"Coquille, Curry, Coos",Male,37,NA,NA,1975 Session,1975,TRUE
"Stults, Robert M.",NA,45,Republican,"Roseburg, Douglas",Male,49,NA,NA,1975 Session,1975,TRUE
"Sumner, Jack",NA,55,Democrat,"Heppner, Morrow, Gilliam, Sherman, Jefferson, Wasco, Clackamas, Marion, Linn",Male,44,NA,NA,1975 Session,1975,TRUE
"VanVliet, Antone C. (Tony)",NA,35,Republican,"Corvallis, Benton",Male,12,NA,NA,1975 Session,1975,TRUE
"Walden, Paul",NA,56,Republican,"Hood River, Hood River, Clackamas, Wasco",Male,46,NA,NA,1975 Session,1975,TRUE
"Whallon, Glen W.",NA,25,Democrat,"Milwaukie, Clackamas",Male,48,NA,NA,1975 Session,1975,TRUE
"Whiting, Pat",NA,7,Democrat,"Tigard, Washington",Female,22,NA,NA,1975 Session,1975,TRUE
"Wilhelms, Gary L.",NA,53,Republican,"Klamath Falls, Klamath",Male,39,NA,NA,1975 Session,1975,TRUE
"Wolfer, Curtis",NA,28,Democrat,"Silverton, Clackamas, Marion",Male,15,NA,NA,1975 Session,1975,TRUE
"Wyatt, William W.",NA,2,Democrat,"Warrenton, Clatsop, Columbia, Washington",Male,26,NA,NA,1975 Session,1975,TRUE
"Akeson, Harvey",NA,22,Democrat,"Portland, Multnomah",Male,5,NA,NA,1974 Special Session,1974,FALSE
"AuCoin, Walter (Les)",Majority Leader,4,Democrat,"Forest Grove, Washington",Male,51,NA,NA,1974 Special Session,1974,FALSE
"Bazett, Sidney",NA,49,Republican,"Grants Pass, Josephine",Male,6,NA,NA,1974 Special Session,1974,FALSE
"Blumenauer, Earl",NA,11,Democrat,"Portland, Multnomah",Male,45,NA,NA,1974 Special Session,1974,FALSE
"Bunn, Stan",NA,29,Republican,"Dayton, Yamhill, Marion",Male,2,NA,NA,1974 Special Session,1974,FALSE
"Burrows, Mary McCauley",NA,41,Republican,"Eugene, Lane",Female,1,NA,NA,1974 Special Session,1974,FALSE
"Byers, Bernard (Bud)",NA,37,Democrat,"Lebanon, Linn",Male,35,NA,NA,1974 Special Session,1974,FALSE
"Cherry, Howard L.",NA,14,Democrat,"Portland, Multnomah",Male,11,NA,NA,1974 Special Session,1974,FALSE
"Cole, George F.",NA,2,Democrat,"Seaside, Clatsop, Washington, Columbia",Male,27,NA,NA,1974 Special Session,1974,FALSE
"Densmore, Albert H.",NA,50,Democrat,"Medford, Jackson",Male,52,NA,NA,1974 Special Session,1974,FALSE
"Dereli, Margaret (Peg)",NA,32,Democrat,"Salem, Marion",Female,25,NA,NA,1974 Special Session,1974,FALSE
"Elliott, Robert A.",NA,17,Republican,"Portland, Multnomah",Male,29,NA,NA,1974 Special Session,1974,FALSE
"Eymann, Richard",Speaker,44,Democrat,"Springfield, Lane",Male,60,NA,NA,1974 Special Session,1974,FALSE
"Fadeley, Nancie",NA,42,Democrat,"Eugene, Lane",Female,23,NA,NA,1974 Special Session,1974,FALSE
"Gilmour, Jeff L.",NA,30,Democrat,"Jefferson, Marion",Male,26,NA,NA,1974 Special Session,1974,FALSE
"Grannell, William N.",NA,47,Democrat,"North Bend, Coos",Male,33,NA,NA,1974 Special Session,1974,FALSE
"Groener, Ralph",NA,27,Democrat,"Oregon City, Clackamas",Male,12,NA,NA,1974 Special Session,1974,FALSE
"Gwinn, William F.",NA,36,Republican,"Albany, Linn, Benton",Male,14,NA,NA,1974 Special Session,1974,FALSE
"Hampton, Lewis B.",NA,5,Republican,"Beaverton, Washington",Male,41,NA,NA,1974 Special Session,1974,FALSE
"Hanneman, Paul A.",NA,3,Republican,"Cloverdale, Tillamook, Yamhill, Washington, Polk",Male,53,NA,NA,1974 Special Session,1974,FALSE
Hansell Stafford,NA,57,Republican,"Hermiston, Umatilla",Male,42,NA,NA,1974 Special Session,1974,FALSE
"Ingalls, Robert C.",NA,35,Republican,"Corvallis, Benton",Male,19,NA,NA,1974 Special Session,1974,FALSE
"Johnson, Leigh Thornton",NA,52,Republican,"Ashland, Jackson, Klamath",Male,57,NA,NA,1974 Special Session,1974,FALSE
"Johnson, Sam",NA,54,Republican,"Redmond, Deschutes, Klamath",Male,54,NA,NA,1974 Special Session,1974,FALSE
"Jones, D.E. (Denny)",NA,60,Republican,"Ontario, Harney, Lake, Malheur",Male,9,NA,NA,1974 Special Session,1974,FALSE
"Kafoury, Stephen",NA,13,Democrat,"Portland, Multnomah",Male,18,NA,NA,1974 Special Session,1974,FALSE
"Katz, Vera",NA,8,Democrat,"Portland, Multnomah",Female,36,NA,NA,1974 Special Session,1974,FALSE
"Kinsey, Lloyd C.",NA,18,Republican,"Portland, Multnomah",Male,32,NA,NA,1974 Special Session,1974,FALSE
"Lang, Philip D.",Speaker Pro Tempore,10,Democrat,"Portland, Multnomah",Male,43,NA,NA,1974 Special Session,1974,FALSE
"Lindquist, Ed",NA,26,Democrat,"Milwaukie, Clackamas",Male,20,NA,NA,1974 Special Session,1974,FALSE
"Macpherson, Gordon L.",Minority Leader,38,Republican,"Seal Rock, Lincoln, Lane, Benton",Male,50,NA,NA,1974 Special Session,1974,FALSE
"Magruder, Dick",NA,1,Democrat,"Clatskanie, Columbia, Washington",Male,56,NA,NA,1974 Special Session,1974,FALSE
"Markham, William E.",NA,46,Republican,"Riddle, Douglas, Josephine",Male,39,NA,NA,1974 Special Session,1974,FALSE
"Martin, Roger E.",NA,24,Republican,"Lake Oswego, Clackamas",Male,34,NA,NA,1974 Special Session,1974,FALSE
"Marx, Robert",NA,34,Democrat,"Philomath, Polk, Benton",Male,28,NA,NA,1974 Special Session,1974,FALSE
"McCoy, William",NA,15,Democrat,"Portland, Multnomah",Male,21,NA,NA,1974 Special Session,1974,FALSE
"Morris, Brad",NA,51,Republican,"Medford, Jackson",Male,24,NA,NA,1974 Special Session,1974,FALSE
"Oakes, Donald",NA,59,Republican,"Ironside, Baker, Grant, Crook, Wheeler, Malheur",Male,8,NA,NA,1974 Special Session,1974,FALSE
"Otto, Glenn E.",NA,23,Democrat,"Troutdale, Multnomah",Male,7,NA,NA,1974 Special Session,1974,FALSE
"Patterson, E. E.",NA,58,Republican,"LaGrande, Union, Wallowa, Umatilla",Male,31,NA,NA,1974 Special Session,1974,FALSE
"Paulus, Norma J.",NA,31,Republican,"Salem, Marion",Female,30,NA,NA,1974 Special Session,1974,FALSE
"Peck, Grace Olivier",NA,12,Democrat,"Portland, Multnomah",Female,55,NA,NA,1974 Special Session,1974,FALSE
"Perry, Laurence P.",NA,40,Democrat,"Eugene, Lane",Male,47,NA,NA,1974 Special Session,1974,FALSE
"Priestley, Wally",NA,16,Democrat,"Portland, Multnomah",Male,3,NA,NA,1974 Special Session,1974,FALSE
"Ragsdale, Mike",NA,6,Republican,"Beaverton, Washington",Male,13,NA,NA,1974 Special Session,1974,FALSE
"Rieke, Mary W.",NA,9,Republican,"Portland, Multnomah",Female,38,NA,NA,1974 Special Session,1974,FALSE
"Roberts, Mary Wendy",NA,20,Democrat,"Portland, Multnomah",Female,10,NA,NA,1974 Special Session,1974,FALSE
"Skelton, Keith D.",NA,19,Democrat,"Portland, Multnomah",Male,58,NA,NA,1974 Special Session,1974,FALSE
"Stevenson, Edward (Doc)",NA,48,Democrat,"Coquille, Curry, Coos",Male,37,NA,NA,1974 Special Session,1974,FALSE
"Stults, David",NA,43,Republican,"Junction City, Douglas, Lane",Male,4,NA,NA,1974 Special Session,1974,FALSE
"Stults, Robert M.",NA,45,Republican,"Roseburg, Douglas",Male,49,NA,NA,1974 Special Session,1974,FALSE
"Sumner, Jack",NA,55,Democrat,"Heppner, Morrow, Gilliam, Sherman, Jefferson, Wasco, Clackamas, Marion, Linn",Male,44,NA,NA,1974 Special Session,1974,FALSE
"Walden, Paul E.",NA,56,Republican,"Hood River, Hood River, Wasco, Clackamas",Male,46,NA,NA,1974 Special Session,1974,FALSE
"Whallon, Glen",NA,25,Democrat,"Milwaukie, Clackamas",Male,48,NA,NA,1974 Special Session,1974,FALSE
"Whitehead, Wayne",NA,39,Republican,"Eugene, Lane",Male,17,NA,NA,1974 Special Session,1974,FALSE
"Whiting, Pat",NA,7,Democrat,"Tigard, Washington",Female,22,NA,NA,1974 Special Session,1974,FALSE
"Wilhelms, Gary L.",NA,53,Republican,"Klamath Falls, Klamath",Male,40,NA,NA,1974 Special Session,1974,FALSE
"Willits, Howard",NA,21,Democrat,"Portland, Multnomah",Male,59,NA,NA,1974 Special Session,1974,FALSE
"Wolfer, Curtis",NA,28,Democrat,"Silverton, Clackamas, Marion",Male,15,NA,NA,1974 Special Session,1974,FALSE
"Wolfer, Martin F.",NA,33,Democrat,"Salem, Marion, Polk",Male,16,NA,NA,1974 Special Session,1974,FALSE
"Akeson, Harvey",NA,22,Democrat,"Portland, Multnomah",Male,5,NA,NA,1973 Session,1973,TRUE
"AuCoin, Walter (Les)",Majority Leader,4,Democrat,"Forest Grove, Washington",Male,51,NA,NA,1973 Session,1973,TRUE
"Bazett, Sidney",NA,49,Republican,"Grants Pass, Josephine",Male,6,NA,NA,1973 Session,1973,TRUE
"Blumenauer, Earl",NA,11,Democrat,"Portland, Multnomah",Male,45,NA,NA,1973 Session,1973,TRUE
"Bunn, Stan",NA,29,Republican,"Dayton, Yamhill, Marion",Male,2,NA,NA,1973 Session,1973,TRUE
"Burrows, Mary McCauley",NA,41,Republican,"Eugene, Lane",Female,1,NA,NA,1973 Session,1973,TRUE
"Byers, Bernard (Bud)",NA,37,Democrat,"Lebanon, Linn",Male,35,NA,NA,1973 Session,1973,TRUE
"Cherry, Howard L.",NA,14,Democrat,"Portland, Multnomah",Male,11,NA,NA,1973 Session,1973,TRUE
"Cole, George F.",NA,2,Democrat,"Seaside, Clatsop, Washington, Columbia",Male,27,NA,NA,1973 Session,1973,TRUE
"Densmore, Albert H.",NA,50,Democrat,"Medford, Jackson",Male,52,NA,NA,1973 Session,1973,TRUE
"Dereli, Margaret (Peg)",NA,32,Democrat,"Salem, Marion",Female,25,NA,NA,1973 Session,1973,TRUE
"Elliott, Robert A.",NA,17,Republican,"Portland, Multnomah",Male,29,NA,NA,1973 Session,1973,TRUE
"Eymann, Richard",Speaker,44,Democrat,"Springfield, Lane",Male,60,NA,NA,1973 Session,1973,TRUE
"Fadeley, Nancie",NA,42,Democrat,"Eugene, Lane",Female,23,NA,NA,1973 Session,1973,TRUE
"Gilmour, Jeff L.",NA,30,Democrat,"Jefferson, Marion",Male,26,NA,NA,1973 Session,1973,TRUE
"Grannell, William N.",NA,47,Democrat,"North Bend, Coos",Male,33,NA,NA,1973 Session,1973,TRUE
"Groener, Ralph",NA,27,Democrat,"Oregon City, Clackamas",Male,12,NA,NA,1973 Session,1973,TRUE
"Gwinn, William F.",NA,36,Republican,"Albany, Linn, Benton",Male,14,NA,NA,1973 Session,1973,TRUE
"Hampton, Lewis B.",NA,5,Republican,"Beaverton, Washington",Male,41,NA,NA,1973 Session,1973,TRUE
"Hanneman, Paul A.",NA,3,Republican,"Cloverdale, Tillamook, Yamhill, Washington, Polk",Male,53,NA,NA,1973 Session,1973,TRUE
"Hansell, Stafford",NA,57,Republican,"Hermiston, Umatilla",Male,42,NA,NA,1973 Session,1973,TRUE
"Ingalls, Robert C.",NA,35,Republican,"Corvallis, Benton",Male,19,NA,NA,1973 Session,1973,TRUE
"Johnson, Leigh Thronton",NA,52,Republican,"Ashland, Jackson, Klamath",Male,57,NA,NA,1973 Session,1973,TRUE
"Johnson, Sam",NA,54,Republican,"Redmond, Deschutes, Klamath",Male,54,NA,NA,1973 Session,1973,TRUE
"Jones, D.E. (Denny)",NA,60,Republican,"Ontario, Harney, Lake, Malheur",Male,9,NA,NA,1973 Session,1973,TRUE
"Kafoury, Stephen",NA,13,Democrat,"Portland, Multnomah",Male,18,NA,NA,1973 Session,1973,TRUE
"Katz, Vera",NA,8,Democrat,"Portland, Multnomah",Female,36,NA,NA,1973 Session,1973,TRUE
"Kinsey, Lloyd C.",NA,18,Republican,"Portland, Multnomah",Male,32,NA,NA,1973 Session,1973,TRUE
"Lang, Philip D.",Speaker Pro Tempore,10,Democrat,"Portland, Multnomah",Male,43,NA,NA,1973 Session,1973,TRUE
"Lindquist, Ed",NA,26,Democrat,"Milwaukie, Clackamas",Male,20,NA,NA,1973 Session,1973,TRUE
"Macpherson, Gordon L.",Minority Leader,38,Republican,"Seal Rock, Lincoln, Lane, Benton",Male,50,NA,NA,1973 Session,1973,TRUE
"Magruder, Dick",NA,1,Democrat,"Clatskanie, Columbia, Washington",Male,56,NA,NA,1973 Session,1973,TRUE
"Markham, William E.",NA,46,Republican,"Riddle, Douglas, Josephine",Male,39,NA,NA,1973 Session,1973,TRUE
"Martin, Roger E.",NA,24,Republican,"Lake Oswego, Clackamas",Male,34,NA,NA,1973 Session,1973,TRUE
"Marx, Robert",NA,34,Democrat,"Philomath, Polk, Benton",Male,28,NA,NA,1973 Session,1973,TRUE
"McCoy, William",NA,15,Democrat,"Portland, Multnomah",Male,21,NA,NA,1973 Session,1973,TRUE
"Morris, Brad",NA,51,Republican,"Medford, Jackson",Male,24,NA,NA,1973 Session,1973,TRUE
"Oakes, Donald",NA,59,Republican,"Ironside, Baker, Grant, Crook, Wheeler, Malheur",Male,8,NA,NA,1973 Session,1973,TRUE
"Otto, Glenn E.",NA,23,Democrat,"Troutdale, Multnomah",Male,7,NA,NA,1973 Session,1973,TRUE
"Patterson, E. E.",NA,58,Republican,"LaGrande, Union, Wallowa, Umatilla",Male,31,NA,NA,1973 Session,1973,TRUE
"Paulus, Norma J.",NA,31,Republican,"Salem, Marion",Female,30,NA,NA,1973 Session,1973,TRUE
"Peck, Grace Olivier",NA,12,Democrat,"Portland, Multnomah",Female,55,NA,NA,1973 Session,1973,TRUE
"Perry, Laurence P.",NA,40,Democrat,"Eugene, Lane",Male,47,NA,NA,1973 Session,1973,TRUE
"Priestley, Wally",NA,16,Democrat,"Portland, Multnomah",Male,3,NA,NA,1973 Session,1973,TRUE
"Ragsdale, Mike",NA,6,Republican,"Beaverton, Washington",Male,13,NA,NA,1973 Session,1973,TRUE
"Rieke, Mary W.",NA,9,Republican,"Portland, Multnomah",Female,38,NA,NA,1973 Session,1973,TRUE
"Roberts, Mary Wendy",NA,20,Democrat,"Portland, Multnomah",Female,10,NA,NA,1973 Session,1973,TRUE
"Skelton, Keith D.",NA,19,Democrat,"Portland, Multnomah",Male,58,NA,NA,1973 Session,1973,TRUE
"Stevenson, Edward (Doc)",NA,48,Democrat,"Coquille, Curry, Coos",Male,37,NA,NA,1973 Session,1973,TRUE
"Stults, David",NA,43,Republican,"Junction City, Douglas, Lane",Male,4,NA,NA,1973 Session,1973,TRUE
"Stults, Robert M.",NA,45,Republican,"Roseburg, Douglas",Male,49,NA,NA,1973 Session,1973,TRUE
"Sumner, Jack",NA,55,Democrat,"Heppner, Morrow, Gilliam, Sherman, Jefferson, Wasco, Clackamas, Marion, Linn",Male,44,NA,NA,1973 Session,1973,TRUE
"Walden, Paul E.",NA,56,Republican,"Hood River, Hood River, Wasco, Clackamas",Male,46,NA,NA,1973 Session,1973,TRUE
"Whallon, Glen",NA,25,Democrat,"Milwaukie, Clackamas",Male,48,NA,NA,1973 Session,1973,TRUE
"Whitehead, Wayne",NA,39,Republican,"Eugene, Lane",Male,17,NA,NA,1973 Session,1973,TRUE
"Whiting, Pat",NA,7,Democrat,"Tigard, Washington",Female,22,NA,NA,1973 Session,1973,TRUE
"Wilhelms, Gary L.",NA,53,Republican,"Klamath Falls, Klamath",Male,40,NA,NA,1973 Session,1973,TRUE
"Willits, Howard",NA,21,Democrat,"Portland, Multnomah",Male,59,NA,NA,1973 Session,1973,TRUE
"Wolfer, Curtis",NA,28,Democrat,"Silverton, Clackamas, Marion",Male,15,NA,NA,1973 Session,1973,TRUE
"Wolfer, Martin F.",NA,33,Democrat,"Salem, Marion, Polk",Male,16,NA,NA,1973 Session,1973,TRUE
